BASEDATE	BASEVALUE	BLENDADMIN	BLENDDESC	BLENDID	CLIENTID	DATAPROVIDER	DATASOURCE	ENDDATE	FIRSTDELIVERY	FKEY	INDEXDESC	ITEM	LASTDELIVERY	LASTEDITOR	PERIOD	REBALANCING_FREQ	STARTDATE	SYSTEM	UPDATED	USERID	WEIGHT	XLENDDATE	XLSTARTDATE
2007-12-31	1000.000000000	<Blend Administrator>	HKC76	HKC76	GB-HSBCAM	Merrill Lynch	Merrill Lynch Fixed Income				C5A0				1	Monthly Business	2007-12-31			HALBIS-FTP	0.800000000		39447
2007-12-31	1000.000000000	<Blend Administrator>	HKC76	HKC76	GB-HSBCAM	Merrill Lynch	Merrill Lynch Fixed Income				G5O2				1	Monthly Business	2007-12-31			HALBIS-FTP	0.200000000		39447
2007-12-31	1000.000000000	<Blend Administrator>	HKC77	HKC77	GB-HSBCAM	Merrill Lynch	Merrill Lynch Fixed Income				UN05				1	Monthly Business	2007-12-31			HALBIS-FTP	0.800000000		39447
2007-12-31	1000.000000000	<Blend Administrator>	HKC77	HKC77	GB-HSBCAM	Merrill Lynch	Merrill Lynch Fixed Income				G5L0				1	Monthly Business	2007-12-31			HALBIS-FTP	0.200000000		39447
2007-12-31	1000.000000000	<Blend Administrator>	LBFITC1	LBFITC1	GB-HSBCAM	Barclays	Barclays Fixed Income Indices (Series L)		2011-05-09	F4O9PG1D	8043	Total Return in British Pound Sterling	2015-08-14	RIMES-FS	1	Monthly Business	2007-12-31	SYS-MARKIT-THINKF	2014-12-08 13:33:10	HALBIS-FTP	0.250000000		39447
2007-12-31	1000.000000000	<Blend Administrator>	LBFITC1	LBFITC1	GB-HSBCAM	Barclays	Barclays Fixed Income Indices (Series L)		2011-05-09	F4O9PG1D	8044	Total Return in British Pound Sterling	2015-08-14	RIMES-FS	1	Monthly Business	2007-12-31	SYS-MARKIT-THINKF	2014-12-08 13:33:10	HALBIS-FTP	0.250000000		39447
2007-12-31	1000.000000000	<Blend Administrator>	LBFITC1	LBFITC1	GB-HSBCAM	Barclays	Barclays Fixed Income Indices (Series L)		2011-05-09	F4O9PG1D	8056	Total Return in British Pound Sterling	2015-08-14	RIMES-FS	1	Monthly Business	2007-12-31	SYS-MARKIT-THINKF	2014-12-08 13:33:10	HALBIS-FTP	0.500000000		39447
2007-12-31	1000.000000000	<Blend Administrator>	LBFITC2	LBFITC2	GB-HSBCAM	Barclays	Barclays Fixed Income Indices (Series L)		2011-05-12	FNFD1XKA	8048	Total Return in British Pound Sterling	2015-08-14	RIMES-FS	1	Monthly Business	2007-12-31	SYS-MARKIT-THINKF	2014-12-08 13:33:10	HALBIS-FTP	0.750000000		39447
2007-12-31	1000.000000000	<Blend Administrator>	LBFITC2	LBFITC2	GB-HSBCAM	Barclays	Barclays Fixed Income Indices (Series L)		2011-05-12	FNFD1XKA	16754	Total Return in British Pound Sterling	2015-08-14	RIMES-FS	1	Monthly Business	2007-12-31	SYS-MARKIT-THINKF	2014-12-08 13:33:10	HALBIS-FTP	0.250000000		39447
2013-07-31	1000.000000000	<Blend Administrator>	LBFITC3	LBFITC3	GB-HSBCAM	Barclays	Barclays Fixed Income ABS Indices		2013-07-30	FTATBDLI	21892	Total Return in Euros	2015-08-14	RIMES-FS	1	Monthly Business	2013-07-31	SYS-MARKIT-THINKF	2014-12-08 13:33:10	HALBIS-FTP	0.600000000		41486
