BACKDATE	CLIENTID	DATE	FEEDID	FEEDTYPE	FKEY	LEVEL	SYSTEM	USERID
	GB-HSBCAM	2015-08-20	BLND_HKC69_FI	Blend	F03EGZA1	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-21	BLND_HKC69_FI	Blend	F03EGZA1	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-24	BLND_HKC69_FI	Blend	F03EGZA1	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-25	BLND_HKC69_FI	Blend	F03EGZA1	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-26	BLND_HKC69_FI	Blend	F03EGZA1	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-27	BLND_HKC69_FI	Blend	F03EGZA1	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-28	BLND_HKC69_FI	Blend	F03EGZA1	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-31	BLND_HKC69_FI	Blend	F03EGZA1	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-01	BLND_HKC69_FI	Blend	F03EGZA1	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-02	BLND_HKC69_FI	Blend	F03EGZA1	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-03	BLND_HKC69_FI	Blend	F03EGZA1	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-04	BLND_HKC69_FI	Blend	F03EGZA1	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-07	BLND_HKC69_FI	Blend	F03EGZA1	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-08	BLND_HKC69_FI	Blend	F03EGZA1	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-09	BLND_HKC69_FI	Blend	F03EGZA1	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-10	BLND_HKC69_FI	Blend	F03EGZA1	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-11	BLND_HKC69_FI	Blend	F03EGZA1	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-20	JPCU_EM85S07_FI	Undefined	F03PDN0B	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-21	JPCU_EM85S07_FI	Undefined	F03PDN0B	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-24	JPCU_EM85S07_FI	Undefined	F03PDN0B	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-25	JPCU_EM85S07_FI	Undefined	F03PDN0B	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-26	JPCU_EM85S07_FI	Undefined	F03PDN0B	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-27	JPCU_EM85S07_FI	Undefined	F03PDN0B	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-28	JPCU_EM85S07_FI	Undefined	F03PDN0B	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-31	JPCU_EM85S07_FI	Undefined	F03PDN0B	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-01	JPCU_EM85S07_FI	Undefined	F03PDN0B	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-02	JPCU_EM85S07_FI	Undefined	F03PDN0B	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-03	JPCU_EM85S07_FI	Undefined	F03PDN0B	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-04	JPCU_EM85S07_FI	Undefined	F03PDN0B	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-07	JPCU_EM85S07_FI	Undefined	F03PDN0B	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-08	JPCU_EM85S07_FI	Undefined	F03PDN0B	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-09	JPCU_EM85S07_FI	Undefined	F03PDN0B	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-10	JPCU_EM85S07_FI	Undefined	F03PDN0B	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-11	JPCU_EM85S07_FI	Undefined	F03PDN0B	Constituent	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-20	ETF_ADVANCE_CORP_ACTIONS_HBC4	Undefined	F07DJQLH	Constituent	Client internal system	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-21	ETF_ADVANCE_CORP_ACTIONS_HBC4	Undefined	F07DJQLH	Constituent	Client internal system	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-24	ETF_ADVANCE_CORP_ACTIONS_HBC4	Undefined	F07DJQLH	Constituent	Client internal system	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-25	ETF_ADVANCE_CORP_ACTIONS_HBC4	Undefined	F07DJQLH	Constituent	Client internal system	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-26	ETF_ADVANCE_CORP_ACTIONS_HBC4	Undefined	F07DJQLH	Constituent	Client internal system	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-27	ETF_ADVANCE_CORP_ACTIONS_HBC4	Undefined	F07DJQLH	Constituent	Client internal system	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-28	ETF_ADVANCE_CORP_ACTIONS_HBC4	Undefined	F07DJQLH	Constituent	Client internal system	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-31	ETF_ADVANCE_CORP_ACTIONS_HBC4	Undefined	F07DJQLH	Constituent	Client internal system	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-01	ETF_ADVANCE_CORP_ACTIONS_HBC4	Undefined	F07DJQLH	Constituent	Client internal system	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-02	ETF_ADVANCE_CORP_ACTIONS_HBC4	Undefined	F07DJQLH	Constituent	Client internal system	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-03	ETF_ADVANCE_CORP_ACTIONS_HBC4	Undefined	F07DJQLH	Constituent	Client internal system	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-04	ETF_ADVANCE_CORP_ACTIONS_HBC4	Undefined	F07DJQLH	Constituent	Client internal system	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-07	ETF_ADVANCE_CORP_ACTIONS_HBC4	Undefined	F07DJQLH	Constituent	Client internal system	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-08	ETF_ADVANCE_CORP_ACTIONS_HBC4	Undefined	F07DJQLH	Constituent	Client internal system	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-09	ETF_ADVANCE_CORP_ACTIONS_HBC4	Undefined	F07DJQLH	Constituent	Client internal system	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-10	ETF_ADVANCE_CORP_ACTIONS_HBC4	Undefined	F07DJQLH	Constituent	Client internal system	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-11	ETF_ADVANCE_CORP_ACTIONS_HBC4	Undefined	F07DJQLH	Constituent	Client internal system	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-20	CASH_USDLIBOR1M200B	Undefined	F08R8UOE	Undefined	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-21	CASH_USDLIBOR1M200B	Undefined	F08R8UOE	Undefined	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-24	CASH_USDLIBOR1M200B	Undefined	F08R8UOE	Undefined	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-25	CASH_USDLIBOR1M200B	Undefined	F08R8UOE	Undefined	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-26	CASH_USDLIBOR1M200B	Undefined	F08R8UOE	Undefined	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-27	CASH_USDLIBOR1M200B	Undefined	F08R8UOE	Undefined	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-28	CASH_USDLIBOR1M200B	Undefined	F08R8UOE	Undefined	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-08-31	CASH_USDLIBOR1M200B	Undefined	F08R8UOE	Undefined	EDM (former CADIS)	HSBCAMCADIS-FTP
	GB-HSBCAM	2015-09-01	CASH_USDLIBOR1M200B	Undefined	F08R8UOE	Undefined	EDM (former CADIS)	HSBCAMCADIS-FTP
